"Name","Team","Number","LiveScore","TOG"
"Liam Baker","Richmond",7,54,79
"Noah Balta","Richmond",21,65,98
"Sam Banks","Richmond",41,39,65
"Jacob Bauer","Richmond",43,6,3
"Shai Bolton","Richmond",29,107,89
"Dylan Grimes","Richmond",2,31,79
"Kamdyn McIntosh","Richmond",33,56,81
"Tylar Young","Richmond",45,35,93
"Toby Nankervis","Richmond",25,113,74
"Nathan Broad","Richmond",35,42,92
"Maurice Rioli","Richmond",10,39,72
"Nick Vlastuin","Richmond",1,85,93
"Ben Miller","Richmond",46,58,68
"Tim Taranto","Richmond",14,97,93
"Jacob Hopper","Richmond",22,70,75
"Dustin Martin","Richmond",4,91,90
"Jack Ross","Richmond",5,96,76
"Marlion Pickett","Richmond",50,39,79
"Jack Graham","Richmond",34,75,81
"Daniel Rioli","Richmond",17,64,80
"Dion Prestia","Richmond",3,90,75
"Jack Riewoldt","Richmond",8,43,97
"Trent Cotchin","Richmond",9,54,68
"Harry Cunningham","Sydney Swans",7,48,87
"Tom Hickey","Sydney Swans",31,56,65
"James Rowbottom","Sydney Swans",8,77,81
"Callum Mills","Sydney Swans",14,92,86
"Dane Rampe","Sydney Swans",24,57,88
"Lewis Melican","Sydney Swans",43,58,98
"Braeden Campbell","Sydney Swans",16,66,83
"Tom Papley","Sydney Swans",11,49,89
"Jake Lloyd","Sydney Swans",44,38,24
"Justin McInerney","Sydney Swans",27,71,83
"Nick Blakey","Sydney Swans",22,58,78
"Angus Sheldrick","Sydney Swans",29,46,54
"Tom McCartin","Sydney Swans",30,40,76
"Luke Parker","Sydney Swans",26,84,86
"Hayden McLean","Sydney Swans",2,68,79
"Logan McDonald","Sydney Swans",6,29,75
"Will Hayward","Sydney Swans",9,73,80
"Isaac Heeney","Sydney Swans",5,90,85
"Robbie Fox","Sydney Swans",42,43,84
"Oliver Florent","Sydney Swans",13,103,85
"Errol Gulden","Sydney Swans",21,126,90
"Lance Franklin","Sydney Swans",23,80,88
"Aaron Francis","Sydney Swans",10,47,54
"Alex Keath","Western Bulldogs",42,49,98
"Jamarra Ugle-Hagan","Western Bulldogs",2,92,91
"Bailey Smith","Western Bulldogs",6,43,79
"James O'Donnell","Western Bulldogs",18,9,59
"Caleb Poulter","Western Bulldogs",25,65,73
"Aaron Naughton","Western Bulldogs",33,81,85
"Laitham Vandermeer","Western Bulldogs",23,43,78
"Jack Macrae","Western Bulldogs",11,93,81
"Rhylee West","Western Bulldogs",14,62,80
"Marcus Bontempelli","Western Bulldogs",4,114,88
"Ryan Gardner","Western Bulldogs",43,32,96
"Rory Lobb","Western Bulldogs",7,38,76
"Lachlan McNeil","Western Bulldogs",30,50,72
"Anthony Scott","Western Bulldogs",28,18,18
"Tim English","Western Bulldogs",44,94,83
"Taylor Duryea","Western Bulldogs",15,61,89
"Cody Weightman","Western Bulldogs",3,99,78
"Bailey Dale","Western Bulldogs",31,78,85
"Ed Richards","Western Bulldogs",20,84,77
"Adam Treloar","Western Bulldogs",1,75,78
"Tom Liberatore","Western Bulldogs",21,84,79
"Caleb Daniel","Western Bulldogs",35,116,79
"Bailey Williams","Western Bulldogs",34,47,77
"Mason Cox","Collingwood",46,41,77
"Jamie Elliott","Collingwood",5,81,86
"Jordan De Goey","Collingwood",2,98,86
"Isaac Quaynor","Collingwood",3,118,84
"Ash Johnson","Collingwood",40,61,69
"Scott Pendlebury","Collingwood",10,93,81
"Taylor Adams","Collingwood",13,83,73
"Jack Crisp","Collingwood",25,87,88
"Trent Bianco","Collingwood",8,34,40
"Billy Frampton","Collingwood",17,24,76
"Jeremy Howe","Collingwood",38,89,93
"Oleg Markov","Collingwood",37,78,87
"Beau McCreery","Collingwood",31,54,71
"Tom Mitchell","Collingwood",6,88,76
"Darcy Moore","Collingwood",30,77,94
"Nathan Murphy","Collingwood",28,57,92
"John Noble","Collingwood",9,113,81
"Darcy Cameron","Collingwood",14,77,78
"Patrick Lipinski","Collingwood",1,67,83
"Nick Daicos","Collingwood",35,112,80
